team,P(position=1),P(position=2),P(position=3),P(position=4),P(position=5),P(position=6),P(position=7),P(position=8),P(position=9),P(position=10),P(position=11),P(position=12),P(position=13),P(position=14),P(position=15),P(position=16),P(position=17),P(position=18),P(position=19),P(position=20),expected_position,expected_points,P(title),P(top4),P(top6),P(relegation)
Arsenal FC,0.827,0.168,0.0048,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1783,81.8436,0.827,0.9999,1.0,0.0
Manchester City FC,0.1702,0.7324,0.084,0.0115,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9425000000000001,76.2807,0.1702,0.9981,1.0,0.0
Aston Villa FC,0.0024,0.0679,0.4594,0.2823,0.1234,0.0491,0.0116,0.0032,0.0005,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6704999999999997,68.2012,0.0024,0.8119999999999999,0.9844999999999999,0.0
Liverpool FC,0.0003,0.026,0.308,0.3477,0.1875,0.0876,0.03,0.0089,0.0025,0.0009,0.0001,0.0002,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,4.150399999999999,66.0199,0.0003,0.6819999999999999,0.9571,0.0
Manchester United FC,0.0,0.0021,0.0757,0.1689,0.2766,0.2481,0.1212,0.0585,0.0287,0.0143,0.0034,0.0018,0.0006,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,5.5644,61.7567,0.0,0.2467,0.7714,0.0
Chelsea FC,0.0001,0.0035,0.0635,0.159,0.2851,0.2631,0.1191,0.0555,0.0263,0.0138,0.0061,0.003,0.0016,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,5.6182,61.1159,0.0001,0.22610000000000002,0.7743000000000001,0.0
Brentford FC,0.0,0.0001,0.004,0.0198,0.0631,0.1387,0.2282,0.1776,0.1307,0.0861,0.0603,0.0417,0.0262,0.0145,0.0071,0.0018,0.0,0.0001,0.0,0.0,8.139,55.8459,0.0,0.0239,0.2257,0.0001
Newcastle United FC,0.0,0.0,0.0002,0.0038,0.0221,0.066,0.1318,0.1553,0.1464,0.1225,0.1106,0.0894,0.0689,0.0479,0.0265,0.0071,0.0014,0.0001,0.0,0.0,9.6223,53.0582,0.0,0.004,0.0921,0.0001
Sunderland AFC,0.0,0.0,0.0001,0.0028,0.0132,0.0492,0.0998,0.1391,0.1462,0.1415,0.1188,0.1026,0.0788,0.0576,0.0333,0.0136,0.003,0.0004,0.0,0.0,10.058999999999997,52.6803,0.0,0.0029,0.0653,0.0004
AFC Bournemouth,0.0,0.0,0.0001,0.0014,0.0124,0.0362,0.0855,0.1185,0.1445,0.1355,0.1307,0.112,0.0957,0.0674,0.041,0.0165,0.0025,0.0001,0.0,0.0,10.3798,52.0898,0.0,0.0015,0.050100000000000006,0.0001
Fulham FC,0.0,0.0,0.0001,0.0013,0.0073,0.0296,0.0785,0.1048,0.1195,0.1381,0.13,0.1208,0.1093,0.086,0.046,0.0238,0.0046,0.0003,0.0,0.0,10.722900000000001,51.5043,0.0,0.0014,0.0383,0.0003
Everton FC,0.0,0.0,0.0001,0.0005,0.0028,0.0113,0.0331,0.0566,0.0776,0.1019,0.1247,0.1406,0.1492,0.1489,0.0985,0.0419,0.0116,0.0007,0.0,0.0,11.9268,49.5211,0.0,0.0006000000000000001,0.0147,0.0007
Brighton & Hove Albion FC,0.0,0.0,0.0,0.0005,0.0031,0.0121,0.033,0.0647,0.0823,0.1002,0.1196,0.1368,0.1404,0.1332,0.0968,0.0574,0.0185,0.0014,0.0,0.0,11.9387,49.0263,0.0,0.0005,0.0157,0.0014
Crystal Palace FC,0.0,0.0,0.0,0.0004,0.0014,0.0086,0.0235,0.0462,0.0708,0.101,0.1217,0.1312,0.1508,0.1515,0.1088,0.0648,0.0161,0.0031,0.0001,0.0,12.236199999999998,48.7226,0.0,0.0004,0.0104,0.0031999999999999997
Tottenham Hotspur FC,0.0,0.0,0.0,0.0,0.0,0.0002,0.0026,0.007,0.0134,0.0249,0.0392,0.0621,0.088,0.1349,0.2202,0.2342,0.1452,0.0263,0.0018,0.0,14.6802,43.887,0.0,0.0,0.0002,0.0281
Leeds United FC,0.0,0.0,0.0,0.0,0.0,0.0002,0.002,0.0034,0.0093,0.0162,0.0291,0.0461,0.0715,0.111,0.2105,0.282,0.1742,0.0419,0.0026,0.0,15.079400000000001,43.5733,0.0,0.0,0.0002,0.0445
Nottingham Forest FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0007,0.0013,0.0028,0.0056,0.0109,0.0174,0.0427,0.0962,0.2074,0.4416,0.1599,0.0134,0.0,16.4638,39.9315,0.0,0.0,0.0,0.17329999999999998
West Ham United FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0008,0.0014,0.0039,0.015,0.0475,0.1654,0.649,0.1159,0.0009,17.7834,35.0574,0.0,0.0,0.0,0.7658
Burnley FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.002,0.0159,0.1154,0.8146,0.052,18.8984,28.6226,0.0,0.0,0.0,0.982
Wolverhampton Wanderers FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0516,0.9471,19.9458,19.1962,0.0,0.0,0.0,1.0
